id	idf	term
165	5.2	SJOGRENS-SYNDROM
166	5.2	SMELL
167	5.2	SOCIAL-ADJUSTMEN
168	5.2	SODIUM
169	4.2	SODIUM-CHLORIDE
170	5.2	SPECTROMETRY-FLU
171	5.2	SPECTROPHOTOMETR
172	5.2	SPECTROPHOTOMETR
173	5.2	SPINAL-CORD
174	5.2	SPUTUM
175	5.2	STAPHYLOCOCCUS
176	5.2	STARCH
177	5.2	SUPPORT-U-S-GOVT
178	2.4	SUPPORT-U-S-GOVT
179	2.9	SWEAT
180	5.2	SWEATING
181	5.2	SYNDROME
182	3.7	TASTE
183	5.2	TASTE-BUDS
184	4.2	TASTE-DISORDERS
185	5.2	TIME-FACTORS
186	5.2	TRACE-ELEMENTS
187	2.4	TRIGLYCERIDES
188	3.7	TRYPSIN
189	5.2	UREA
190	4.2	URIC-ACID
191	2.9	VITAMIN-A
192	4.2	VITAMIN-A-DEFICI
193	5.2	VITAMIN-B-12-DEF
194	5.2	VITAMIN-D-DEFICI
195	2.1	VITAMIN-E
196	2.2	VITAMIN-E-DEFICI
197	5.2	VITAMIN-K-DEFICI
198	4.2	VITAMINS
199	5.2	WATER
200	5.2	WOUNDS-AND-INJUR
201	5.2	XYLOSE
202	3.7	ZINC

